         2227295 function calls (2225323 primitive calls) in 81.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_array_like.py:1(<module>)
      709    0.006    0.000    0.015    0.000 /usr/lib/python3.10/asyncio/queues.py:138(put_nowait)
      680    0.009    0.000    0.015    0.000 /usr/lib/python3.10/typing.py:1284(__hash__)
       50    0.005    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:532(Literal)
       80    0.002    0.000    0.014    0.000 /home/wolverine/bin/running/calculatorp3.py:1175(read_loop)
        1    0.000    0.000    0.014    0.014 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/multiarray.py:1(<module>)
        2    0.000    0.000    0.014    0.007 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.013    0.006    0.014    0.007 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.014    0.014 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/overrides.py:1(<module>)
     1363    0.006    0.000    0.013    0.000 /home/wolverine/bin/running/calculator3.py:824(process_data)
       15    0.000    0.000    0.013    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1358(_do_ssl_handshake)
     3959    0.011    0.000    0.013    0.000 /usr/lib/python3.10/asyncio/events.py:31(__init__)
     3638    0.002    0.000    0.013    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
      884    0.004    0.000    0.013    0.000 /usr/lib/python3.10/functools.py:884(wrapper)
       15    0.000    0.000    0.012    0.001 /usr/lib/python3.10/ssl.py:1364(do_handshake)
      877    0.004    0.000    0.012    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:256(get_nowait)
   191968    0.012    0.000    0.012    0.000 {method 'decode' of 'bytes' objects}
       15    0.012    0.001    0.012    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       10    0.001    0.000    0.012    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/simple_httpclient.py:514(_write_body)
        4    0.000    0.000    0.012    0.003 /home/wolverine/bin/running/pycaitlyn.py:7135(update_schema_from_binary)
        4    0.012    0.003    0.012    0.003 {built-in method _pycaitlyn.IndexSerializer_update_schema_from_binary}
        3    0.000    0.000    0.012    0.004 /home/wolverine/bin/running/calculator3.py:633(recycle_loop)
   390682    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     3638    0.007    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
      732    0.004    0.000    0.011    0.000 /usr/lib/python3.10/selectors.py:181(get_key)
        1    0.011    0.011    0.011    0.011 {built-in method gc.collect}
     3618    0.009    0.000    0.010    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:785(_start_read)
       10    0.001    0.000    0.010    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/http1connection.py:188(_read_message)
   186661    0.010    0.000    0.010    0.000 {built-in method _pycaitlyn.Field_get_pos}
     3616    0.008    0.000    0.010    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:985(_consume)
    56/15    0.003    0.000    0.010    0.001 /usr/lib/python3.10/typing.py:1046(__getitem__)
       75    0.001    0.000    0.010    0.000 /home/wolverine/bin/running/calculatorp3.py:127(send_json)
   186661    0.009    0.000    0.009    0.000 {built-in method _pycaitlyn.Field_get_type}
     3899    0.009    0.000    0.009    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1000(_maybe_add_error_listener)
      621    0.002    0.000    0.009    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1111(read_from_fd)
       75    0.001    0.000    0.009    0.000 /home/wolverine/bin/running/calculator3.py:1479(send_json)
       48    0.001    0.000    0.008    0.000 /home/wolverine/bin/running/calculator3.py:876(_ack_market_state)
     1416    0.001    0.000    0.008    0.000 /usr/lib/python3.10/asyncio/queues.py:59(_wakeup_next)
      884    0.001    0.000    0.008    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:682(add_future)
      355    0.002    0.000    0.008    0.000 /usr/lib/python3.10/selectors.py:352(register)
     4961    0.006    0.000    0.008    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:901(_find_read_pos)
       90    0.000    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:267(_remove_dups_flatten)
      140    0.000    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:253(_deduplicate)
      871    0.000    0.000    0.007    0.000 /home/wolverine/bin/running/pycaitlyn.py:10350(decode)
    10192    0.006    0.000    0.007    0.000 /usr/lib/python3.10/random.py:239(_randbelow_with_getrandbits)
      621    0.007    0.000    0.007    0.000 {method 'recv_into' of '_socket.socket' objects}
        1    0.000    0.000    0.007    0.007 /home/wolverine/bin/running/pycaitlyn.py:11667(set_compressor)
     2526    0.005    0.000    0.007    0.000 /usr/lib/python3.10/asyncio/selector_events.py:600(_process_events)
        1    0.007    0.007    0.007    0.007 {built-in method _pycaitlyn.TCDataCommunication_set_compressor}
       93    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      232    0.001    0.000    0.007    0.000 /home/wolverine/bin/running/calculator3.py:854(_write_to_calcq)
      732    0.003    0.000    0.007    0.000 /usr/lib/python3.10/selectors.py:70(__getitem__)
     1147    0.002    0.000    0.007    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
      871    0.007    0.000    0.007    0.000 {built-in method _pycaitlyn.TAMarketStatusNotification_decode}
       23    0.000    0.000    0.007    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/tcpclient.py:221(connect)
     8071    0.007    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:1273(<genexpr>)
      355    0.002    0.000    0.007    0.000 /usr/lib/python3.10/selectors.py:366(unregister)
       94    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
      732    0.004    0.000    0.006    0.000 /usr/lib/python3.10/asyncio/selector_events.py:234(_ensure_fd_no_transport)
       77    0.001    0.000    0.006    0.000 /home/wolverine/bin/running/calculatorp3.py:277(_give_up_binary_raw)
       94    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      884    0.004    0.000    0.006    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/gen.py:872(convert_yielded)
       93    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      707    0.005    0.000    0.006    0.000 /usr/lib/python3.10/asyncio/queues.py:176(get_nowait)
        4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:942(source_to_code)
        4    0.006    0.001    0.006    0.001 {built-in method builtins.compile}
       12    0.000    0.000    0.006    0.000 /home/wolverine/bin/running/calculatorp3.py:1370(entry)
       93    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      103    0.001    0.000    0.005    0.000 /home/wolverine/bin/running/calculatorp3.py:206(_forward_binary_raw)
       75    0.002    0.000    0.005    0.000 /home/wolverine/bin/running/calculator3.py:1465(_pack_json)
     1464    0.004    0.000    0.005    0.000 /usr/lib/python3.10/selectors.py:216(_fileobj_lookup)
      140    0.001    0.000    0.005    0.000 /usr/lib/python3.10/asyncio/base_events.py:705(call_later)
