         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      216    0.002    0.000    0.013    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:730(_read_to_buffer_loop)
      758    0.006    0.000    0.013    0.000 /usr/lib/python3.10/asyncio/tasks.py:593(sleep)
      206    0.001    0.000    0.013    0.000 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:406(_apply_portfolio_dd_limits)
    13314    0.005    0.000    0.013    0.000 /usr/lib/python3.10/re.py:288(_compile)
     1312    0.005    0.000    0.012    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:808(_finish_read)
   138783    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
      216    0.007    0.000    0.011    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:845(_read_to_buffer)
   139142    0.011    0.000    0.011    0.000 {method 'startswith' of 'bytes' objects}
214870/214790    0.011    0.000    0.011    0.000 {built-in method builtins.len}
     3176    0.011    0.000    0.011    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
       91    0.000    0.000    0.011    0.000 /usr/lib/python3.10/typing.py:267(_remove_dups_flatten)
      836    0.002    0.000    0.011    0.000 /home/wolverine/bin/running/strategyc3.py:984(_open_position)
      141    0.001    0.000    0.010    0.000 /usr/lib/python3.10/typing.py:253(_deduplicate)
     3125    0.007    0.000    0.010    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema.py:15393(to_dict)
     1773    0.002    0.000    0.009    0.000 {method 'set_result' of '_asyncio.Future' objects}
      862    0.003    0.000    0.009    0.000 /usr/lib/python3.10/asyncio/base_events.py:743(call_soon)
    49285    0.006    0.000    0.009    0.000 {built-in method builtins.isinstance}
   110508    0.009    0.000    0.009    0.000 {method 'decode' of 'bytes' objects}
     8071    0.009    0.000    0.009    0.000 /usr/lib/python3.10/typing.py:1273(<genexpr>)
    47069    0.005    0.000    0.009    0.000 /home/wolverine/bin/running/pycaitlyn.py:6934(get_name)
      667    0.000    0.000    0.009    0.000 /home/wolverine/bin/running/pycaitlyn.py:7052(get_fields)
     1266    0.002    0.000    0.008    0.000 /home/wolverine/bin/running/strategyc3.py:952(_close_position)
